Username,Account ID,Timestamp (IST),Has Access,Permission Level
user1,user1,"3/1/2026, 05:34:36",YES,SONAR USERS
admin,admin,"3/1/2026, 05:34:43",YES,"SONAR ADMINISTRATOR, SONAR USERS"
